LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1752174609.306754,221084.500,34202,2,GY,1,100,0.610
1752174609.347254,221125.000,34202,2,GY,1,100,0.183
1752174609.386920,221164.667,34219,3,GY,1,100,0.519
1752174609.426587,221204.333,34219,3,GY,1,100,1.068
1752174609.466254,221244.000,34219,3,GY,1,100,1.221
1752174609.506254,221284.000,34235,2,GY,1,100,1.404
1752174609.546254,221324.000,34235,2,GY,1,100,2.045
1752174609.586254,221364.000,34252,3,GY,1,100,3.387
1752174609.626254,221404.000,34252,3,GY,1,100,2.106
1752174609.666254,221444.000,34252,3,GY,1,100,0.641
1752174609.706254,221484.000,34271,2,GY,1,100,1.099
1752174609.746254,221524.000,34271,2,GY,1,100,0.580
1752174609.786254,221564.000,34288,3,GY,1,100,0.488
1752174609.826254,221604.000,34288,3,GY,1,100,1.221
1752174609.866254,221644.000,34288,3,GY,1,100,1.373
1752174609.906254,221684.000,34304,2,GY,1,100,0.885
1752174609.946254,221724.000,34304,2,GY,1,100,2.289
1752174609.986254,221764.000,34322,3,GY,1,100,3.632
1752174610.026254,221804.000,34322,3,GY,1,100,2.045
1752174610.066254,221844.000,34322,3,GY,1,100,1.190
1752174610.106254,221884.000,34340,2,GY,1,100,2.319
1752174610.146254,221924.000,34340,2,GY,1,100,2.106
1752174610.186254,221964.000,34357,3,GY,1,100,2.472
1752174610.226254,222004.000,34357,3,GY,1,100,2.686
1752174610.266254,222044.000,34357,3,GY,1,100,-0.031
1752174610.306254,222084.000,34374,2,GY,1,100,-1.648
1752174610.346254,222124.000,34374,2,GY,1,100,-2.289
1752174610.383004,222160.750,34398,4,GY,1,100,-0.824
1752174610.419754,222197.500,34398,4,GY,1,100,0.580
1752174610.456504,222234.250,34398,4,GY,1,100,0.061
1752174610.493254,222271.000,34398,4,GY,1,100,-2.075
1752174610.533254,222311.000,34414,3,GY,1,100,-1.526
1752174610.573254,222351.000,34414,3,GY,1,100,0.732
1752174610.613254,222391.000,34414,3,GY,1,100,1.831
1752174610.653254,222431.000,34432,2,GY,1,100,1.984
1752174610.693254,222471.000,34432,2,GY,1,100,1.495
1752174610.733254,222511.000,34446,3,GY,1,100,1.495
1752174610.773254,222551.000,34446,3,GY,1,100,1.984
1752174610.813254,222591.000,34446,3,GY,1,100,3.174
1752174610.853254,222631.000,34465,2,GY,1,100,4.272
1752174610.893254,222671.000,34465,2,GY,1,100,5.310
1752174610.933254,222711.000,34481,3,GY,1,100,5.127
1752174610.973254,222751.000,34481,3,GY,1,100,2.777
1752174611.013254,222791.000,34481,3,GY,1,100,1.709
1752174611.053254,222831.000,34501,3,GY,1,100,2.075
1752174611.093254,222871.000,34501,3,GY,1,100,1.404
1752174611.133254,222911.000,34501,3,GY,1,100,1.556
1752174611.173253,222951.000,34516,2,GY,1,100,2.045
1752174611.213253,222991.000,34516,2,GY,1,100,2.930
1752174611.253253,223031.000,34532,3,GY,1,100,3.601
1752174611.293253,223071.000,34532,3,GY,1,100,-0.061
