LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1752621179.909241,83788.000,11751,3,AZ,1,100,0.177
1752621179.949241,83828.000,11770,2,AZ,1,100,0.180
1752621179.989242,83868.000,11770,2,AZ,1,100,0.182
1752621180.029242,83908.000,11787,3,AZ,1,100,0.183
1752621180.069242,83948.000,11787,3,AZ,1,100,0.185
1752621180.109243,83988.000,11787,3,AZ,1,100,0.184
1752621180.149243,84028.000,11803,2,AZ,1,100,0.183
1752621180.189244,84068.000,11803,2,AZ,1,100,0.185
1752621180.229244,84108.000,11820,3,AZ,1,100,0.183
1752621180.269244,84148.000,11820,3,AZ,1,100,0.182
1752621180.309245,84188.000,11820,3,AZ,1,100,0.180
1752621180.349245,84228.000,11844,2,AZ,1,100,0.182
1752621180.389245,84268.000,11844,2,AZ,1,100,0.182
1752621180.429246,84308.000,11859,3,AZ,1,100,0.182
1752621180.469246,84348.000,11859,3,AZ,1,100,0.185
1752621180.509246,84388.000,11859,3,AZ,1,100,0.185
1752621180.549247,84428.000,11877,2,AZ,1,100,0.183
1752621180.589247,84468.000,11877,2,AZ,1,100,0.182
1752621180.629247,84508.000,11895,3,AZ,1,100,0.183
1752621180.669248,84548.000,11895,3,AZ,1,100,0.183
1752621180.709248,84588.000,11895,3,AZ,1,100,0.180
1752621180.749248,84628.000,11915,3,AZ,1,100,0.181
1752621180.789249,84668.000,11915,3,AZ,1,100,0.181
1752621180.829249,84708.000,11915,3,AZ,1,100,0.182
1752621180.869249,84748.000,11930,2,AZ,1,100,0.183
1752621180.909250,84788.000,11930,2,AZ,1,100,0.182
1752621180.949250,84828.000,11949,3,AZ,1,100,0.181
1752621180.989250,84868.000,11949,3,AZ,1,100,0.184
1752621181.029251,84908.000,11949,3,AZ,1,100,0.177
1752621181.069251,84948.000,11966,2,AZ,1,100,0.178
1752621181.109251,84988.000,11966,2,AZ,1,100,0.178
1752621181.144585,85023.333,11982,3,AZ,1,100,0.183
1752621181.179919,85058.667,11982,3,AZ,1,100,0.183
1752621181.215252,85094.000,11982,3,AZ,1,100,0.182
1752621181.255253,85134.000,11999,3,AZ,1,100,0.181
1752621181.295253,85174.000,11999,3,AZ,1,100,0.178
1752621181.335253,85214.000,11999,3,AZ,1,100,0.177
1752621181.375254,85254.000,12016,2,AZ,1,100,0.180
1752621181.415254,85294.000,12016,2,AZ,1,100,0.177
1752621181.455254,85334.000,12035,3,AZ,1,100,0.177
1752621181.495255,85374.000,12035,3,AZ,1,100,0.180
1752621181.535255,85414.000,12035,3,AZ,1,100,0.178
1752621181.575255,85454.000,12051,2,AZ,1,100,0.181
1752621181.615256,85494.000,12051,2,AZ,1,100,0.182
1752621181.655256,85534.000,12068,3,AZ,1,100,0.181
1752621181.695256,85574.000,12068,3,AZ,1,100,0.177
1752621181.735257,85614.000,12068,3,AZ,1,100,0.177
1752621181.775257,85654.000,12085,2,AZ,1,100,0.181
1752621181.815257,85694.000,12085,2,AZ,1,100,0.175
1752621181.855258,85734.000,12102,3,AZ,1,100,0.180
1752621181.895258,85774.000,12102,3,AZ,1,100,0.178
1752621181.935258,85814.000,12102,3,AZ,1,100,0.176
1752621181.975259,85854.000,12119,2,AZ,1,100,0.177
1752621182.015259,85894.000,12119,2,AZ,1,100,0.178
1752621182.055259,85934.000,12138,3,AZ,1,100,0.179
1752621182.095260,85974.000,12138,3,AZ,1,100,0.177
1752621182.135260,86014.000,12138,3,AZ,1,100,0.178
1752621182.175260,86054.000,12152,2,AZ,1,100,0.179
1752621182.215261,86094.000,12152,2,AZ,1,100,0.178
1752621182.255261,86134.000,12170,3,AZ,1,100,0.175
1752621182.295261,86174.000,12170,3,AZ,1,100,0.173
1752621182.335262,86214.000,12170,3,AZ,1,100,0.172
1752621182.375262,86254.000,12188,3,AZ,1,100,0.174
1752621182.415262,86294.000,12188,3,AZ,1,100,0.177
1752621182.455263,86334.000,12188,3,AZ,1,100,0.176
1752621182.495263,86374.000,12205,2,AZ,1,100,0.180
1752621182.535263,86414.000,12205,2,AZ,1,100,0.175
1752621182.575264,86454.000,12219,3,AZ,1,100,0.178
1752621182.615264,86494.000,12219,3,AZ,1,100,0.183
1752621182.655264,86534.000,12219,3,AZ,1,100,0.183
1752621182.695265,86574.000,12239,2,AZ,1,100,0.179
1752621182.735265,86614.000,12239,2,AZ,1,100,0.175
1752621182.775265,86654.000,12255,3,AZ,1,100,0.178
1752621182.815266,86694.000,12255,3,AZ,1,100,0.177
1752621182.855266,86734.000,12255,3,AZ,1,100,0.177
1752621182.895266,86774.000,12274,2,AZ,1,100,0.177
1752621182.935267,86814.000,12274,2,AZ,1,100,0.176
1752621182.975267,86854.000,12289,3,AZ,1,100,0.175
1752621183.015267,86894.000,12289,3,AZ,1,100,0.179
1752621183.055268,86934.000,12289,3,AZ,1,100,0.180
1752621183.095268,86974.000,12308,2,AZ,1,100,0.176
1752621183.135268,87014.000,12308,2,AZ,1,100,0.176
1752621183.175269,87054.000,12324,3,AZ,1,100,0.174
1752621183.215269,87094.000,12324,3,AZ,1,100,0.174
1752621183.255269,87134.000,12324,3,AZ,1,100,0.176
1752621183.295270,87174.000,12344,2,AZ,1,100,0.182
1752621183.335270,87214.000,12344,2,AZ,1,100,0.181
1752621183.375270,87254.000,12358,3,AZ,1,100,0.182
1752621183.415271,87294.000,12358,3,AZ,1,100,0.173
1752621183.455271,87334.000,12358,3,AZ,1,100,0.174
1752621183.495272,87374.000,12375,3,AZ,1,100,0.177
1752621183.535272,87414.000,12375,3,AZ,1,100,0.183
1752621183.575272,87454.000,12375,3,AZ,1,100,0.181
1752621183.615273,87494.000,12391,2,AZ,1,100,0.178
1752621183.655273,87534.000,12391,2,AZ,1,100,0.180
1752621183.695273,87574.000,12409,3,AZ,1,100,0.179
1752621183.735274,87614.000,12409,3,AZ,1,100,0.177
1752621183.775274,87654.000,12409,3,AZ,1,100,0.181
1752621183.815274,87694.000,12424,2,AZ,1,100,0.183
1752621183.855275,87734.000,12424,2,AZ,1,100,0.182
1752621183.895275,87774.000,12442,3,AZ,1,100,0.182
1752621183.935275,87814.000,12442,3,AZ,1,100,0.183
1752621183.975276,87854.000,12442,3,AZ,1,100,0.177
1752621184.015276,87894.000,12459,2,AZ,1,100,0.178
1752621184.055276,87934.000,12459,2,AZ,1,100,0.177
1752621184.095277,87974.000,12476,3,AZ,1,100,0.176
1752621184.135277,88014.000,12476,3,AZ,1,100,0.182
1752621184.175277,88054.000,12476,3,AZ,1,100,0.178
1752621184.215278,88094.000,12494,2,AZ,1,100,0.183
1752621184.255278,88134.000,12494,2,AZ,1,100,0.178
1752621184.295278,88174.000,12510,3,AZ,1,100,0.178
1752621184.335279,88214.000,12510,3,AZ,1,100,0.184
1752621184.375279,88254.000,12510,3,AZ,1,100,0.184
1752621184.415279,88294.000,12528,2,AZ,1,100,0.182
1752621184.455280,88334.000,12528,2,AZ,1,100,0.182
1752621184.495280,88374.000,12545,3,AZ,1,100,0.184
1752621184.535280,88414.000,12545,3,AZ,1,100,0.183
1752621184.575281,88454.000,12545,3,AZ,1,100,0.186
1752621184.615281,88494.000,12562,2,AZ,1,100,0.186
1752621184.655281,88534.000,12562,2,AZ,1,100,0.181
1752621184.690948,88569.667,12577,3,AZ,1,100,0.180
1752621184.726615,88605.333,12577,3,AZ,1,100,0.179
1752621184.762282,88641.000,12577,3,AZ,1,100,0.182
1752621184.802283,88681.000,12595,3,AZ,1,100,0.180
1752621184.842283,88721.000,12595,3,AZ,1,100,0.178
1752621184.882283,88761.000,12595,3,AZ,1,100,0.186
1752621184.922284,88801.000,12612,2,AZ,1,100,0.190
1752621184.962284,88841.000,12612,2,AZ,1,100,0.191
1752621185.002284,88881.000,12629,3,AZ,1,100,0.191
1752621185.042285,88921.000,12629,3,AZ,1,100,0.190
1752621185.082285,88961.000,12629,3,AZ,1,100,0.187
1752621185.122285,89001.000,12646,2,AZ,1,100,0.182
1752621185.162286,89041.000,12646,2,AZ,1,100,0.180
1752621185.202286,89081.000,12662,3,AZ,1,100,0.185
1752621185.242286,89121.000,12662,3,AZ,1,100,0.183
1752621185.282287,89161.000,12662,3,AZ,1,100,0.183
1752621185.322287,89201.000,12680,3,AZ,1,100,0.182
1752621185.362287,89241.000,12680,3,AZ,1,100,0.183
1752621185.402288,89281.000,12680,3,AZ,1,100,0.187
1752621185.442288,89321.000,12703,3,AZ,1,100,0.187
1752621185.482288,89361.000,12703,3,AZ,1,100,0.187
1752621185.522289,89401.000,12703,3,AZ,1,100,0.186
1752621185.562289,89441.000,12720,2,AZ,1,100,0.183
1752621185.602289,89481.000,12720,2,AZ,1,100,0.188
1752621185.642290,89521.000,12735,3,AZ,1,100,0.188
1752621185.682290,89561.000,12735,3,AZ,1,100,0.187
1752621185.722290,89601.000,12735,3,AZ,1,100,0.184
1752621185.762291,89641.000,12756,2,AZ,1,100,0.188
1752621185.802291,89681.000,12756,2,AZ,1,100,0.187
1752621185.842291,89721.000,12772,3,AZ,1,100,0.192
1752621185.882292,89761.000,12772,3,AZ,1,100,0.189
1752621185.922292,89801.000,12772,3,AZ,1,100,0.186
1752621185.962292,89841.000,12790,2,AZ,1,100,0.189
1752621186.002293,89881.000,12790,2,AZ,1,100,0.190
1752621186.042293,89921.000,12804,3,AZ,1,100,0.189
1752621186.082293,89961.000,12804,3,AZ,1,100,0.188
1752621186.122294,90001.000,12804,3,AZ,1,100,0.189
1752621186.162294,90041.000,12821,2,AZ,1,100,0.187
1752621186.202294,90081.000,12821,2,AZ,1,100,0.186
1752621186.242295,90121.000,12837,3,AZ,1,100,0.192
1752621186.282295,90161.000,12837,3,AZ,1,100,0.186
1752621186.322295,90201.000,12837,3,AZ,1,100,0.189
1752621186.362296,90241.000,12857,3,AZ,1,100,0.189
