LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1752172672.882866,278423.000,44236,2,GY,1,100,6.744
1752172672.922866,278463.000,44250,3,GY,1,100,15.350
1752172672.962866,278503.000,44250,3,GY,1,100,18.616
1752172673.002867,278543.000,44250,3,GY,1,100,16.663
1752172673.042867,278583.000,44268,3,GY,1,100,14.496
1752172673.082867,278623.000,44268,3,GY,1,100,13.062
1752172673.122868,278663.000,44268,3,GY,1,100,13.458
1752172673.162868,278703.000,44284,2,GY,1,100,9.186
1752172673.202868,278743.000,44284,2,GY,1,100,2.411
1752172673.242868,278783.000,44301,3,GY,1,100,-3.754
1752172673.282869,278823.000,44301,3,GY,1,100,-5.341
1752172673.322869,278863.000,44301,3,GY,1,100,-1.526
1752172673.362869,278903.000,44316,2,GY,1,100,1.404
1752172673.402870,278943.000,44316,2,GY,1,100,4.181
1752172673.442870,278983.000,44335,3,GY,1,100,6.989
1752172673.482870,279023.000,44335,3,GY,1,100,6.653
1752172673.522871,279063.000,44335,3,GY,1,100,6.500
1752172673.562871,279103.000,44351,2,GY,1,100,6.073
1752172673.602871,279143.000,44351,2,GY,1,100,3.937
1752172673.642872,279183.000,44369,3,GY,1,100,2.441
1752172673.682872,279223.000,44369,3,GY,1,100,1.404
1752172673.722872,279263.000,44369,3,GY,1,100,1.495
1752172673.762873,279303.000,44383,2,GY,1,100,1.343
1752172673.802873,279343.000,44383,2,GY,1,100,3.265
1752172673.842873,279383.000,44400,3,GY,1,100,7.538
1752172673.882874,279423.000,44400,3,GY,1,100,8.423
1752172673.922874,279463.000,44400,3,GY,1,100,8.148
1752172673.962874,279503.000,44420,2,GY,1,100,8.698
1752172674.002875,279543.000,44420,2,GY,1,100,7.416
1752172674.042875,279583.000,44438,3,GY,1,100,2.228
1752172674.082875,279623.000,44438,3,GY,1,100,-2.319
1752172674.122876,279663.000,44438,3,GY,1,100,-4.395
1752172674.162876,279703.000,44453,2,GY,1,100,-5.035
1752172674.202876,279743.000,44453,2,GY,1,100,-5.493
1752172674.242877,279783.000,44471,3,GY,1,100,-4.211
1752172674.282877,279823.000,44471,3,GY,1,100,-1.465
1752172674.322877,279863.000,44471,3,GY,1,100,-1.801
1752172674.362878,279903.000,44488,2,GY,1,100,-3.174
1752172674.402878,279943.000,44488,2,GY,1,100,-5.981
1752172674.442878,279983.000,44505,3,GY,1,100,-7.660
1752172674.482879,280023.000,44505,3,GY,1,100,-5.371
1752172674.522879,280063.000,44505,3,GY,1,100,-1.221
1752172674.562879,280103.000,44522,2,GY,1,100,2.747
1752172674.602880,280143.000,44522,2,GY,1,100,3.815
1752172674.642547,280182.667,44541,3,GY,1,100,3.418
1752172674.682214,280222.333,44541,3,GY,1,100,2.625
1752172674.721881,280262.000,44541,3,GY,1,100,0.854
1752172674.762214,280302.333,44557,3,GY,1,100,-0.427
1752172674.802548,280342.667,44557,3,GY,1,100,0.885
1752172674.842881,280383.000,44557,3,GY,1,100,2.258
1752172674.882382,280422.500,44574,2,GY,1,100,2.441
1752172674.921882,280462.000,44574,2,GY,1,100,0.397
1752172674.962216,280502.333,44591,3,GY,1,100,0.031
1752172675.002549,280542.667,44591,3,GY,1,100,1.068
1752172675.042883,280583.000,44591,3,GY,1,100,2.136
1752172675.082383,280622.500,44610,2,GY,1,100,1.099
1752172675.121884,280662.000,44610,2,GY,1,100,-1.007
1752172675.161884,280702.000,44626,3,GY,1,100,-1.495
1752172675.201884,280742.000,44626,3,GY,1,100,-1.221
1752172675.241885,280782.000,44626,3,GY,1,100,-1.190
1752172675.281885,280822.000,44643,2,GY,1,100,-2.045
1752172675.321885,280862.000,44643,2,GY,1,100,-1.312
1752172675.361886,280902.000,44660,3,GY,1,100,1.862
1752172675.401886,280942.000,44660,3,GY,1,100,3.204
1752172675.441886,280982.000,44660,3,GY,1,100,2.411
1752172675.481887,281022.000,44675,2,GY,1,100,1.648
1752172675.521887,281062.000,44675,2,GY,1,100,0.153
1752172675.562221,281102.333,44693,3,GY,1,100,-1.556
1752172675.602554,281142.667,44693,3,GY,1,100,-2.991
1752172675.642888,281183.000,44693,3,GY,1,100,-1.221
1752172675.682388,281222.500,44711,2,GY,1,100,4.242
1752172675.721889,281262.000,44711,2,GY,1,100,7.141
1752172675.762222,281302.333,44729,3,GY,1,100,5.463
1752172675.802556,281342.667,44729,3,GY,1,100,2.594
1752172675.842890,281383.000,44729,3,GY,1,100,-1.831
1752172675.882890,281423.000,44744,2,GY,1,100,-4.242
1752172675.922890,281463.000,44744,2,GY,1,100,-3.082
