LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1752622337.786611,149733.000,22460,2,AY,1,100,-0.030
1752622337.826611,149773.000,22460,2,AY,1,100,-0.021
1752622337.866612,149813.000,22479,3,AY,1,100,-0.002
1752622337.906612,149853.000,22479,3,AY,1,100,-0.017
1752622337.946612,149893.000,22479,3,AY,1,100,-0.026
1752622337.986613,149933.000,22496,3,AY,1,100,-0.026
1752622338.026613,149973.000,22496,3,AY,1,100,-0.022
1752622338.066613,150013.000,22496,3,AY,1,100,-0.017
1752622338.106613,150053.000,22512,2,AY,1,100,-0.011
1752622338.146614,150093.000,22512,2,AY,1,100,-0.012
1752622338.186614,150133.000,22530,3,AY,1,100,-0.017
1752622338.226614,150173.000,22530,3,AY,1,100,-0.022
1752622338.266615,150213.000,22530,3,AY,1,100,-0.010
1752622338.306615,150253.000,22546,2,AY,1,100,-0.021
1752622338.346615,150293.000,22546,2,AY,1,100,-0.032
1752622338.386616,150333.000,22563,3,AY,1,100,-0.026
1752622338.426616,150373.000,22563,3,AY,1,100,-0.025
1752622338.466616,150413.000,22563,3,AY,1,100,-0.018
1752622338.506617,150453.000,22582,2,AY,1,100,-0.022
1752622338.546617,150493.000,22582,2,AY,1,100,-0.029
1752622338.586617,150533.000,22598,3,AY,1,100,-0.030
1752622338.626618,150573.000,22598,3,AY,1,100,-0.018
1752622338.666618,150613.000,22598,3,AY,1,100,-0.011
1752622338.706618,150653.000,22613,2,AY,1,100,-0.014
1752622338.746618,150693.000,22613,2,AY,1,100,-0.011
1752622338.781952,150728.333,22632,3,AY,1,100,-0.021
1752622338.817286,150763.667,22632,3,AY,1,100,-0.020
1752622338.852619,150799.000,22632,3,AY,1,100,-0.012
1752622338.892620,150839.000,22651,3,AY,1,100,-0.010
1752622338.932620,150879.000,22651,3,AY,1,100,-0.010
1752622338.972620,150919.000,22651,3,AY,1,100,-0.012
1752622339.012621,150959.000,22668,2,AY,1,100,-0.014
1752622339.052621,150999.000,22668,2,AY,1,100,-0.010
1752622339.092621,151039.000,22682,3,AY,1,100,-0.027
1752622339.132621,151079.000,22682,3,AY,1,100,-0.025
1752622339.172622,151119.000,22682,3,AY,1,100,-0.028
1752622339.212622,151159.000,22702,2,AY,1,100,-0.018
1752622339.252622,151199.000,22702,2,AY,1,100,-0.009
1752622339.292623,151239.000,22718,3,AY,1,100,-0.014
1752622339.332623,151279.000,22718,3,AY,1,100,-0.022
1752622339.372623,151319.000,22718,3,AY,1,100,-0.024
1752622339.412624,151359.000,22739,2,AY,1,100,-0.011
1752622339.452624,151399.000,22739,2,AY,1,100,-0.013
1752622339.492624,151439.000,22754,3,AY,1,100,-0.011
1752622339.532625,151479.000,22754,3,AY,1,100,-0.011
1752622339.572625,151519.000,22754,3,AY,1,100,-0.021
1752622339.612625,151559.000,22771,2,AY,1,100,-0.012
1752622339.652626,151599.000,22771,2,AY,1,100,-0.009
1752622339.692626,151639.000,22787,3,AY,1,100,-0.017
1752622339.732626,151679.000,22787,3,AY,1,100,-0.013
1752622339.772626,151719.000,22787,3,AY,1,100,-0.009
1752622339.812627,151759.000,22805,2,AY,1,100,-0.012
1752622339.852627,151799.000,22805,2,AY,1,100,-0.015
1752622339.892627,151839.000,22821,3,AY,1,100,-0.020
1752622339.932628,151879.000,22821,3,AY,1,100,-0.019
1752622339.972628,151919.000,22821,3,AY,1,100,-0.017
1752622340.012628,151959.000,22838,3,AY,1,100,-0.021
1752622340.052629,151999.000,22838,3,AY,1,100,-0.012
1752622340.092629,152039.000,22838,3,AY,1,100,-0.014
1752622340.132629,152079.000,22856,2,AY,1,100,-0.019
1752622340.172630,152119.000,22856,2,AY,1,100,-0.015
1752622340.212630,152159.000,22876,3,AY,1,100,-0.016
1752622340.252630,152199.000,22876,3,AY,1,100,-0.018
1752622340.292631,152239.000,22876,3,AY,1,100,-0.013
1752622340.332631,152279.000,22890,2,AY,1,100,-0.014
1752622340.372631,152319.000,22890,2,AY,1,100,-0.015
1752622340.412631,152359.000,22907,3,AY,1,100,-0.016
1752622340.452632,152399.000,22907,3,AY,1,100,-0.013
