LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1752794210.277260,590685.000,30360,3,AY,1,100,0.083
1752794210.317260,590725.000,30376,2,AY,1,100,0.041
1752794210.357260,590765.000,30376,2,AY,1,100,0.014
1752794210.397261,590805.000,30395,3,AY,1,100,0.007
1752794210.437261,590845.000,30395,3,AY,1,100,0.014
1752794210.477261,590885.000,30395,3,AY,1,100,0.013
1752794210.517261,590925.000,30410,2,AY,1,100,0.009
1752794210.557261,590965.000,30410,2,AY,1,100,0.001
1752794210.597261,591005.000,30427,3,AY,1,100,0.010
1752794210.637261,591045.000,30427,3,AY,1,100,-0.005
1752794210.677261,591085.000,30427,3,AY,1,100,0.015
1752794210.717261,591125.000,30443,2,AY,1,100,0.005
1752794210.757262,591165.000,30443,2,AY,1,100,0.012
1752794210.797262,591205.000,30461,3,AY,1,100,0.006
1752794210.837262,591245.000,30461,3,AY,1,100,0.033
1752794210.877262,591285.000,30461,3,AY,1,100,0.019
1752794210.917262,591325.000,30480,2,AY,1,100,0.042
1752794210.957262,591365.000,30480,2,AY,1,100,0.024
1752794210.997262,591405.000,30496,3,AY,1,100,0.028
1752794211.037262,591445.000,30496,3,AY,1,100,0.032
1752794211.077263,591485.000,30496,3,AY,1,100,0.040
1752794211.117263,591525.000,30512,3,AY,1,100,0.048
1752794211.157263,591565.000,30512,3,AY,1,100,0.057
1752794211.197263,591605.000,30512,3,AY,1,100,0.038
1752794211.237263,591645.000,30535,2,AY,1,100,0.050
1752794211.277263,591685.000,30535,2,AY,1,100,0.039
1752794211.313263,591721.000,30551,3,AY,1,100,0.046
1752794211.349263,591757.000,30551,3,AY,1,100,0.062
1752794211.385264,591793.000,30551,3,AY,1,100,0.065
1752794211.425264,591833.000,30568,3,AY,1,100,0.064
1752794211.465264,591873.000,30568,3,AY,1,100,0.080
1752794211.505264,591913.000,30568,3,AY,1,100,0.082
1752794211.544764,591952.500,30585,2,AY,1,100,0.065
1752794211.584264,591992.000,30585,2,AY,1,100,0.070
1752794211.624264,592032.000,30602,3,AY,1,100,0.068
1752794211.664264,592072.000,30602,3,AY,1,100,0.073
1752794211.704265,592112.000,30602,3,AY,1,100,0.078
1752794211.744265,592152.000,30618,2,AY,1,100,0.075
1752794211.784265,592192.000,30618,2,AY,1,100,0.061
1752794211.824265,592232.000,30634,3,AY,1,100,0.060
