LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1752784461.523001,346836.000,54329,2,GX,1,100,-0.641
1752784461.563001,346876.000,54329,2,GX,1,100,-1.251
1752784461.602668,346915.667,54343,3,GX,1,100,0.366
1752784461.642335,346955.333,54343,3,GX,1,100,-0.214
1752784461.682002,346995.000,54343,3,GX,1,100,-2.594
1752784461.722003,347035.000,54362,2,GX,1,100,-4.517
1752784461.762003,347075.000,54362,2,GX,1,100,-4.822
1752784461.802003,347115.000,54381,3,GX,1,100,-5.402
1752784461.842004,347155.000,54381,3,GX,1,100,-5.402
1752784461.882004,347195.000,54381,3,GX,1,100,-5.096
1752784461.922004,347235.000,54398,2,GX,1,100,-4.211
1752784461.962005,347275.000,54398,2,GX,1,100,-2.380
1752784462.002005,347315.000,54412,3,GX,1,100,-1.770
1752784462.042006,347355.000,54412,3,GX,1,100,-2.655
1752784462.082006,347395.000,54412,3,GX,1,100,-3.845
1752784462.122006,347435.000,54430,2,GX,1,100,-2.960
1752784462.162007,347475.000,54430,2,GX,1,100,-1.831
1752784462.202007,347515.000,54446,3,GX,1,100,-1.373
1752784462.242007,347555.000,54446,3,GX,1,100,-0.031
1752784462.282008,347595.000,54446,3,GX,1,100,-0.519
1752784462.322008,347635.000,54465,3,GX,1,100,-2.136
1752784462.362008,347675.000,54465,3,GX,1,100,-2.380
1752784462.402009,347715.000,54465,3,GX,1,100,0.702
1752784462.442009,347755.000,54480,2,GX,1,100,3.357
1752784462.482009,347795.000,54480,2,GX,1,100,2.136
1752784462.522010,347835.000,54505,4,GX,1,100,-1.801
1752784462.562010,347875.000,54505,4,GX,1,100,-2.655
1752784462.602010,347915.000,54505,4,GX,1,100,-1.617
1752784462.642011,347955.000,54505,4,GX,1,100,-0.488
1752784462.682011,347995.000,54519,2,GX,1,100,2.045
1752784462.722011,348035.000,54519,2,GX,1,100,4.700
1752784462.762012,348075.000,54537,3,GX,1,100,4.578
1752784462.802012,348115.000,54537,3,GX,1,100,5.280
1752784462.842013,348155.000,54537,3,GX,1,100,6.866
1752784462.882013,348195.000,54553,3,GX,1,100,6.500
1752784462.922013,348235.000,54553,3,GX,1,100,3.387
1752784462.962014,348275.000,54553,3,GX,1,100,1.404
1752784463.002014,348315.000,54572,2,GX,1,100,-2.930
