LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1752784461.175998,346489.000,54262,3,GZ,1,100,1.343
1752784461.211665,346524.667,54278,3,GZ,1,100,1.221
1752784461.247332,346560.333,54278,3,GZ,1,100,2.441
1752784461.282999,346596.000,54278,3,GZ,1,100,4.639
1752784461.322999,346636.000,54295,2,GZ,1,100,5.127
1752784461.363000,346676.000,54295,2,GZ,1,100,3.113
1752784461.403000,346716.000,54311,3,GZ,1,100,3.052
1752784461.443000,346756.000,54311,3,GZ,1,100,2.319
1752784461.483001,346796.000,54311,3,GZ,1,100,0.427
1752784461.523001,346836.000,54331,2,GZ,1,100,-0.671
1752784461.563001,346876.000,54331,2,GZ,1,100,-0.366
1752784461.602668,346915.667,54345,3,GZ,1,100,0.214
1752784461.642335,346955.333,54345,3,GZ,1,100,0.854
1752784461.682002,346995.000,54345,3,GZ,1,100,0.824
1752784461.722003,347035.000,54364,2,GZ,1,100,0.244
1752784461.762003,347075.000,54364,2,GZ,1,100,-0.092
1752784461.802003,347115.000,54383,3,GZ,1,100,0.366
1752784461.842004,347155.000,54383,3,GZ,1,100,0.946
1752784461.882004,347195.000,54383,3,GZ,1,100,1.160
1752784461.922004,347235.000,54400,2,GZ,1,100,-0.153
1752784461.962005,347275.000,54400,2,GZ,1,100,-1.862
1752784462.002005,347315.000,54414,3,GZ,1,100,-1.617
1752784462.042006,347355.000,54414,3,GZ,1,100,-0.092
1752784462.082006,347395.000,54414,3,GZ,1,100,0.977
1752784462.122006,347435.000,54432,2,GZ,1,100,2.014
1752784462.162007,347475.000,54432,2,GZ,1,100,2.533
1752784462.202007,347515.000,54448,3,GZ,1,100,2.350
1752784462.242007,347555.000,54448,3,GZ,1,100,2.289
1752784462.282008,347595.000,54448,3,GZ,1,100,1.678
1752784462.322008,347635.000,54467,3,GZ,1,100,-0.641
1752784462.362008,347675.000,54467,3,GZ,1,100,-0.702
1752784462.402009,347715.000,54467,3,GZ,1,100,0.031
1752784462.442009,347755.000,54482,2,GZ,1,100,-0.946
1752784462.482009,347795.000,54482,2,GZ,1,100,-1.678
1752784462.522010,347835.000,54507,4,GZ,1,100,1.038
1752784462.562010,347875.000,54507,4,GZ,1,100,0.519
1752784462.602010,347915.000,54507,4,GZ,1,100,0.824
1752784462.642011,347955.000,54507,4,GZ,1,100,2.258
1752784462.682011,347995.000,54521,2,GZ,1,100,2.075
1752784462.722011,348035.000,54521,2,GZ,1,100,1.343
1752784462.762012,348075.000,54539,3,GZ,1,100,0.214
1752784462.802012,348115.000,54539,3,GZ,1,100,-0.427
1752784462.842013,348155.000,54539,3,GZ,1,100,0.275
1752784462.882013,348195.000,54555,3,GZ,1,100,0.763
1752784462.922013,348235.000,54555,3,GZ,1,100,0.366
1752784462.962014,348275.000,54555,3,GZ,1,100,-1.129
1752784463.002014,348315.000,54574,2,GZ,1,100,-0.092
1752784463.042014,348355.000,54574,2,GZ,1,100,-0.122
1752784463.082015,348395.000,54588,2,GZ,1,100,-0.244
1752784463.122015,348435.000,54588,2,GZ,1,100,1.373
1752784463.162015,348475.000,54608,3,GZ,1,100,2.228
1752784463.202016,348515.000,54608,3,GZ,1,100,2.136
1752784463.242016,348555.000,54608,3,GZ,1,100,1.984
1752784463.282016,348595.000,54624,3,GZ,1,100,1.282
1752784463.322017,348635.000,54624,3,GZ,1,100,0.702
1752784463.362017,348675.000,54624,3,GZ,1,100,0.519
1752784463.402017,348715.000,54641,2,GZ,1,100,0.183
1752784463.442018,348755.000,54641,2,GZ,1,100,-0.854
1752784463.482018,348795.000,54657,3,GZ,1,100,-0.488
1752784463.522019,348835.000,54657,3,GZ,1,100,0.305
1752784463.562019,348875.000,54657,3,GZ,1,100,0.214
1752784463.602019,348915.000,54675,2,GZ,1,100,1.282
1752784463.642020,348955.000,54675,2,GZ,1,100,1.709
1752784463.682020,348995.000,54691,3,GZ,1,100,0.427
1752784463.722020,349035.000,54691,3,GZ,1,100,0.549
1752784463.762021,349075.000,54691,3,GZ,1,100,0.122
1752784463.802021,349115.000,54709,2,GZ,1,100,-1.282
1752784463.842021,349155.000,54709,2,GZ,1,100,-0.519
1752784463.882022,349195.000,54724,3,GZ,1,100,0.092
1752784463.922022,349235.000,54724,3,GZ,1,100,0.488
1752784463.962022,349275.000,54724,3,GZ,1,100,1.038
1752784464.002023,349315.000,54740,2,GZ,1,100,2.197
1752784464.042023,349355.000,54740,2,GZ,1,100,2.350
1752784464.082023,349395.000,54757,3,GZ,1,100,0.488
1752784464.122024,349435.000,54757,3,GZ,1,100,-0.702
1752784464.162024,349475.000,54757,3,GZ,1,100,-1.495
1752784464.202024,349515.000,54776,2,GZ,1,100,-1.099
1752784464.242025,349555.000,54776,2,GZ,1,100,-0.427
1752784464.282025,349595.000,54792,3,GZ,1,100,1.099
1752784464.322026,349635.000,54792,3,GZ,1,100,5.371
